Chromosome/scaffold name	Gene start (bp)	Gene end (bp)	Strand	Gene name
11	61508749	61511018	1	LRRC10B
14	23938219	24075861	-1	DHRS4-AS1
8	90985359	90991394	1	
8	8388376	8399330	1	
11	61525708	61526602	-1	
19	2360238	2426261	1	TMPRSS9
11	61539516	61542259	-1	
11	62567011	62567071	-1	MIR6747
8	114074185	114113684	-1	
11	62593214	62601865	-1	MTA2
8	124892527	124895385	-1	
8	114113607	114114727	1	
8	124935804	124943765	-1	
HSCHR6_MHC_APD_CTG1	1186136	1188913	1	HLA-K
HSCHR6_MHC_APD_CTG1	403496	404432	-1	OR2N1P
HSCHR6_MHC_APD_CTG1	3160360	3162874	1	HSPA1B
8	2292044	2312091	-1	
8	74948283	74973071	1	
8	69336442	69394232	-1	
3	140865075	140867783	-1	
8	69356997	69394562	1	
3	187197090	187207629	-1	
HSCHR6_MHC_APD_CTG1	821307	898877	-1	GABBR1
X	52512077	52520803	-1	XAGE1B
3	187383101	187384849	1	
8	65215940	65220479	1	
3	187448845	187449450	1	LINC02041
8	10729302	10772910	1	SOX7-AS1
3	154511535	154539309	-1	
3	156977558	156977825	1	KLF3P2
3	196568611	196589059	1	FBXO45
8	130935409	130949665	1	
8	97278035	97279930	1	
8	51922822	51927326	-1	
8	77163449	77188519	1	
8	13705214	13758744	-1	
8	51757069	51770959	-1	
19	19668796	19683509	1	ZNF101
8	51647331	51649407	1	
8	115930311	115994011	1	
4	155129005	155209170	-1	NPY2R-AS1
14	77966121	77968065	1	
3	185712528	185729787	1	IGF2BP2-AS1
18	10525905	10552766	1	NAPG
5	42892319	42892817	-1	PPIAP77
5	42897262	42897832	-1	PRELID3BP4
14	24006981	24051377	1	DHRS4L1
5	112777630	112778161	-1	CBX3P3
5	112778363	112778469	1	RNU6-482P
5	140527352	140527428	-1	
5	140563671	140563751	-1	MIR6831
5	140711215	140733281	1	
3	196536532	196536702	1	RPS29P3
3	191461163	191461456	1	PYDC2
8	139911238	139916628	1	
5	170353487	170736632	1	KCNIP1
4	44726644	44985602	1	
8	131876450	131904410	-1	
8	93741133	93744617	1	RBM12B-DT
8	57149068	57150750	-1	
8	112699109	112699828	1	
8	41172858	41190475	-1	
3	196468783	196503768	-1	RNF168
22	43878568	43892494	-1	PNPLA5
4	165647636	165758108	-1	
8	27087088	27089683	-1	
8	79270022	79334011	-1	
8	79259402	79314951	1	
4	44752146	44765198	-1	
4	165741731	165743154	-1	
4	162705359	163059927	1	
8	8614104	8655986	1	
3	156988117	156988712	-1	CRADDP1
11	62611722	62615116	1	ROM1
X	120505920	120604074	-1	CUL4B
19	19699203	19699409	-1	
3	192796815	192917856	-1	MB21D2
4	79702757	79744345	-1	
19	19708965	19710465	1	
4	162644022	162740035	-1	
19	19710472	19733112	-1	ZNF14
4	162958676	163005189	-1	
3	193307244	193314362	1	ATP13A5-AS1
3	190830965	190832173	1	ENAHP1
3	155401329	155403399	-1	DTWD1P2
8	4452487	4454373	-1	
4	162806370	162844690	-1	
19	45527767	45602212	-1	OPA3
8	8665246	8688777	1	
3	155431229	155433398	-1	
14	18289341	18345505	1	
3	155449184	155457753	1	PLCH1-AS1
4	20392132	20394882	1	SLIT2-IT1
3	172225428	172225872	-1	RPS27AP8
3	155657760	155658612	1	RPL6P7
8	8686058	8687005	-1	
14	23965091	23969815	-1	
11	62646848	62653302	-1	INTS5
3	190852737	190892429	-1	GMNC
8	41324509	41331094	1	
19	45638994	45639087	-1	MIR330
4	147539705	147617264	-1	TMEM184C-DT
14	69867022	69877116	-1	
8	41330708	41332111	-1	
22	24417879	24443177	1	ADORA2A
14	44122131	44153752	1	
8	133144236	133166399	1	
14	44130465	44131264	1	
11	62649694	62665178	-1	
19	17824780	17848071	-1	JAK3
14	98368705	98369985	-1	
14	85880743	85886052	-1	
14	98213979	98242794	1	
11	62662817	62665210	-1	C11orf98
6	453391	477829	1	
8	106864392	106925666	1	
14	50130113	50130500	-1	
6	524171	525581	1	
14	92503412	92513550	-1	
6	72316599	72317436	-1	
3	155742142	155743726	-1	
8	15341613	15343660	1	
3	189645327	189645466	-1	
4	147567606	147594589	1	LINC02507
3	155760617	155761217	1	RPL7AP24
8	52714516	52777058	1	
3	183613620	183616742	1	PRICKLE1P1
14	92504059	92504614	1	
5	170483806	170486407	-1	
14	99277093	99279772	1	
3	196527339	196528791	-1	NAA50P2
5	170639158	170681437	-1	KCNIP1-AS1
3	155763043	155854442	-1	
14	42014754	42019233	-1	
11	62665422	62665570	1	SNORA57
11	62690275	62727384	-1	HNRNPUL2-BSCL2
8	2254418	2263205	1	
5	170866835	170867144	1	RN7SL623P
8	2259229	2262225	-1	
14	19062294	19131345	1	DUXAP9
4	118278462	118285316	1	SNHG8
5	170896929	170904461	1	
3	186079170	186080947	1	ETV5-AS1
8	37655485	37659204	1	
3	143503275	143504273	-1	GAPDHP47
5	41306952	41510601	-1	PLCXD3
3	143517123	143518229	-1	ST13P15
8	48383344	48397102	-1	
3	193144464	193176864	-1	
8	93564739	93566204	1	
3	69471452	69472532	-1	RBM43P1
3	193155456	193157208	-1	VEZF1P1
8	71828167	72118393	1	MSC-AS1
5	79849552	79849846	-1	
12	64497968	64507329	1	
3	147844123	147846657	-1	
5	133172218	133173053	-1	RPL6P15
12	64696191	64696550	-1	
5	133387773	133388549	1	
12	64709458	64710513	1	
3	282689	282792	-1	RNU6-1194P
12	64759496	64977509	1	
5	133427596	133427706	-1	MIR1289-2
3	2088933	2089211	-1	RN7SKP144
5	133457805	133458331	1	
3	8364529	8364648	-1	RNU4ATAC17P
5	133574829	133575298	-1	
3	14530982	14531088	-1	RNU6-905P
5	133720495	133720934	-1	
3	11952788	11953085	-1	RN7SL147P
3	1065580	1065875	-1	RN7SL120P
5	146084313	146105577	-1	PLAC8L1
3	19314848	19314931	-1	MIR4791
3	20137565	20137641	1	MIR3135A
6	71886550	72403150	1	RIMS1
3	8931495	8931632	1	
12	64820179	64825955	-1	
11	62935982	62936234	-1	RN7SL259P
3	8931506	8931631	1	
11	62936427	62959852	-1	
3	30304320	30304536	-1	
12	64867956	64868699	-1	RPL7P39
3	19996803	19996925	1	RNU4-85P
3	20268965	20269070	-1	RNU6-822P
12	64939023	64939117	1	RNU6ATAC42P
3	16933196	16933260	1	MIR3714
12	65017468	65054124	1	
3	31161704	31161787	-1	MIR466
11	128934731	128943399	-1	TP53AIP1
3	32506283	32506389	-1	MIR548AY
3	30304321	30304536	-1	U3
12	65095749	65095855	1	RNU6-166P
3	20507644	20507756	-1	RNU6-815P
12	65134688	65135273	1	APOOP3
3	35256840	35256946	-1	RNU6-243P
3	31228715	31228847	1	RNA5SP127
12	65171262	65171917	1	
3	35744476	35744559	1	MIR128-2
3	38303773	38303879	-1	RNU6-235P
12	124529722	124530228	-1	
3	45255409	45255620	-1	U3
3	67225464	67225527	1	MIR4272
12	124537844	124539677	1	
3	63545440	63545535	1	RNA5SP134
3	78115158	78115457	1	RN7SL647P
12	124542503	124542873	1	
3	73593940	73594002	-1	RNU7-119P
12	124555905	124556432	1	
3	61739127	61739229	-1	Y_RNA
5	146099406	146120412	1	
3	62118300	62118510	-1	RNU2-10P
12	124561869	124562283	1	
3	86362132	86362474	1	RN7SKP284
12	124593181	124593691	-1	
5	146137755	146138381	1	RPL35AP16
3	91356755	91356914	1	
3	64511755	64511857	1	RNU6-739P
12	124622290	124623069	-1	
3	71827177	71827471	1	RN7SL271P
5	146138771	146139008	1	RPL35AP17
3	88431191	88431309	1	Y_RNA
12	124623391	124623987	1	
3	70808350	70808452	1	RNU6-281P
5	146203550	146339251	1	
3	90030284	90030495	1	U3
12	124637999	124638444	-1	
3	78938009	78938292	-1	RN7SL751P
3	87742543	87742649	-1	RNU6-873P
12	124725524	124725934	1	
3	79507887	79507969	1	MIR3923
12	124901512	124901611	1	RNU6-927P
3	81509476	81509664	1	RNU2-28P
12	124915547	124915659	1	MIR5188
3	78161698	78161992	1	RN7SKP61
12	50934942	50935464	-1	
18	26226393	26391685	1	TAF4B
3	86235321	86235424	1	RNU6-1129P
12	50949117	50949384	-1	
3	103524033	103524116	-1	MIR548AB
3	109225129	109225227	1	RNU6-1236P
12	50953924	50954356	-1	
3	110551845	110551965	-1	RNU6ATAC15P
12	51106817	51107144	1	RPL35AP29
3	90184634	90184733	1	RNU6-712P
3	109602828	109602897	1	MIR4445
12	51201684	51202581	-1	
3	102755064	102755170	-1	RNU6-461P
12	131620178	131620765	-1	
3	103159960	103160124	1	RNU1-43P
3	112112801	112112898	1	MIR567
12	131621891	131623203	-1	
3	110727021	110727121	1	Y_RNA
3	109018909	109019116	-1	U3
5	146245191	146245253	-1	RNU7-180P
12	131661063	131661174	1	RNA5SP377
3	128141875	128141977	-1	RNU6-823P
12	131667492	131668246	1	RPS6P21
3	123161794	123161879	1	MIR7110
3	109295239	109295498	1	Metazoa_SRP
12	131756966	131758047	-1	SFSWAP-AS1
3	136430084	136430183	-1	RNU6-1284P
11	93329971	93438487	1	DEUP1
3	137518134	137518255	-1	RNA5SP142
12	131801315	131801434	-1	RNA5SP378
3	154329716	154329819	1	
12	131815263	131815368	-1	RNU6-1017P
5	149141483	149260542	1	ABLIM3
3	154007367	154007502	-1	U8
12	131896500	131898239	1	
9	11090984	11108349	-1	
3	141902924	141903030	-1	RNU6-509P
4	8546070	8549461	-1	
3	155437538	155437823	-1	RN7SL715P
9	82646158	82701384	1	
3	144186905	144187020	-1	RNA5SP144
3	142145454	142145555	1	RNU6-425P
12	131934642	131934928	1	
3	157930492	157930725	-1	RN7SKP46
4	174087392	174180746	1	
9	82682848	82706032	-1	
3	142407657	142407737	-1	RNU6-1294P
12	132424504	132425208	-1	
3	142420205	142420369	-1	RNU1-100P
9	40944042	40950960	1	
3	157153548	157153640	1	Y_RNA
12	132457160	132460024	1	
3	157017342	157017696	1	RN7SKP177
9	136563650	136573462	-1	
3	165122713	165122823	-1	Y_RNA
4	95837953	95840045	-1	
12	132462242	132462856	1	
3	149525631	149525726	1	RNU6-1098P
3	163470205	163470266	-1	RNU7-82P
4	174213956	174217049	1	
12	132550729	132554947	1	
3	171106664	171106759	-1	MIR569
9	119430139	119969276	-1	
3	172703124	172703225	1	RNU6-547P
3	187423315	187423419	1	
12	132565071	132566425	1	
4	174215970	174217696	-1	
3	191641135	191641237	1	Y_RNA
12	132581997	132582061	1	MIR6763
3	164171471	164171556	-1	MIR1263
4	87261781	87267172	-1	
3	176515103	176515151	1	MIR7977
8	111691912	111700276	1	
3	183451857	183451988	1	SNORA63D
3	174631823	174632064	1	RN7SKP40
3	180581057	180581163	1	RNU6-486P
8	29351292	29360222	1	
3	146996607	146996713	-1	RNU6-505P
3	170994870	170995033	-1	RNU1-70P
3	189829922	189830009	1	MIR944
4	28435449	28600363	1	
3	172771277	172771405	-1	SNORA72
8	132702801	132722283	1	
3	186076306	186076591	-1	Metazoa_SRP
3	176763233	176763341	1	RNA5SP147
21	32411710	32517158	1	EVA1C
3	183452567	183452764	1	
8	29352419	29353227	-1	
9	41062203	41063405	-1	
3	172796429	172796558	-1	RNU4-4P
3	175369540	175369621	1	MIR4789
9	119368770	119447327	1	
3	193624189	193624301	1	Y_RNA
8	132760719	132761408	1	
3	175397247	175397348	-1	RNU6-1233P
9	119762062	119777937	1	
3	183454128	183454262	1	
12	132618776	132622388	1	P2RX2
19	17862588	17862720	1	SNORA68
8	114005819	114063826	1	
3	175609479	175609613	1	RNU4-91P
19	17871273	17871705	-1	
3	183453814	183453944	1	SNORA63E
4	22777656	22778152	-1	
9	31336548	31414201	-1	
3	175767558	175767661	1	RNU6-1317P
19	17871945	17895174	1	SLC5A5
8	116935657	116938445	-1	
3	181610498	181610729	1	
4	174197418	174198909	-1	
9	65590864	65593542	1	
3	180542701	180542836	1	U8
4	127962965	127963786	-1	
3	157173918	157174040	-1	RNA5SP146
9	119968736	119974325	1	
3	178429197	178429290	-1	RNA5SP148
4	126272087	126283799	1	
8	116945784	116948062	-1	
3	190165417	190165523	-1	RNU6-1109P
3	172237326	172237591	1	RN7SL141P
8	116948715	116949259	-1	
3	100646121	100646197	1	
3	100665050	100665476	-1	GMFBP1
9	119934763	119937832	1	LINC01613
8	141124678	141130119	-1	DENND3-AS1
3	100910975	100912175	-1	ABRAXAS1P1
10	124917143	124942881	1	
4	28580991	28679085	-1	
3	100952627	100952733	1	RNU6-865P
9	111836615	111857707	-1	
3	148850933	148960112	-1	
10	124942123	124988189	1	ZRANB1
3	148922703	148956088	1	
9	19789073	19926598	1	
3	148985868	148987668	-1	UBQLN4P1
3	149094353	149094462	-1	Y_RNA
20	49632945	49713908	-1	B4GALT5
3	149099499	149099815	-1	MED28P2
4	183522169	183534327	-1	
3	128563316	128564431	1	
4	6709967	6715336	1	
8	144049434	144051708	1	
3	128673681	128674021	-1	Metazoa_SRP
3	128674735	128677005	-1	POU5F1P6
4	94743664	94759407	-1	BMPR1B-DT
3	128714571	128714705	-1	
10	125032783	125032870	-1	MIR4296
3	128748538	128749489	-1	MARK2P8
10	125162379	125162971	1	
3	88095408	88095968	-1	CBX5P1
10	125166677	125166937	1	MRPS21P6
3	88317156	88319022	1	ABCF2P1
4	5039622	5051483	-1	
10	91628442	91633071	-1	PPP1R3C
3	101414228	101414633	1	FAM136CP
10	89414568	89421605	1	IFIT5
3	101457241	101457732	-1	BTF3P16
3	101458530	101458626	1	Y_RNA
11	18120955	18138488	1	MRGPRX3
3	101574180	101594465	1	PCNP
11	59358895	59371714	1	OR5AN1
9	19891196	20004389	-1	
8	142089679	142091623	1	
10	33034655	33034924	-1	RN7SL847P
22	26521996	26596717	-1	TPST2
19	52558017	52559570	1	
9	19842932	19875424	-1	
10	91152605	91153349	-1	NUDT9P1
11	4994851	5005536	1	OR51L1
10	91153669	91161315	1	
19	52699353	52700660	-1	
9	81303779	81372082	-1	
10	126393489	126398789	-1	
19	54906148	54916140	1	NCR1
11	56354291	56361511	1	OR8J1
10	126424997	126798708	-1	C10orf90
9	16146910	16158717	1	
9	98045555	98046850	1	
4	110642161	110648728	1	
9	121839818	121857893	1	
4	155495870	155593474	1	
9	65383136	65400447	1	
11	123902167	123909229	1	OR8D4
11	55648327	55652854	1	OR4S2
3	101576489	101576947	-1	RPS18P5
3	101599243	101599644	-1	RPL32P7
11	55662201	55666195	1	OR4C6
3	101615826	101615928	1	RNU6-1256P
3	101628310	101628406	-1	Y_RNA
3	101647421	101647522	1	Y_RNA
4	64533797	64536909	1	
3	101662060	101662164	-1	RNY1P12
20	35648925	35664956	-1	RBM12
3	134170487	134171085	1	HMGB3P14
11	56103687	56107658	1	OR8H2
HSCHR8_3_CTG7	193306	199505	1	MAPK15
3	134347288	134349233	-1	
4	141645651	141657712	-1	
3	134385197	134385494	1	HMGN1P9
4	184859714	184860186	-1	
3	134437605	134438211	1	HMGB3P13
4	146933973	147009145	1	
3	134510531	134511413	-1	DPPA4P2
11	59511368	59520703	1	OR4D9
3	134774543	134796493	-1	
9	114364492	114367199	1	
3	134780527	134780627	-1	RNU6-1174P
3	134783436	134783555	-1	RNA5SP141
9	1712632	1768025	-1	
3	10057973	10058287	-1	CYCSP11
11	5776165	5783355	-1	OR52N5
9	65394522	65397599	-1	
3	10081317	10108255	-1	FANCD2OS
8	46822174	46907309	1	LINC00293
11	5999445	6006946	-1	OR56A4
11	5128776	5138356	-1	OR52A5
4	155521541	155522297	-1	
4	184184711	184274275	1	
11	124302831	124315099	-1	OR8D1
9	1759190	1765984	1	
9	129884322	129886015	-1	
4	65998846	66376366	1	
9	36113859	36145009	-1	
3	10249372	10285796	1	
9	135400285	135411512	1	
11	58402464	58406874	-1	OR5B3
9	129806934	129812801	-1	
9	116151516	116155457	-1	
11	5146824	5154757	-1	OR52A1
10	126779702	126779774	-1	
20	958452	1002372	-1	RSPO4
10	76835377	76835502	-1	
11	59416969	59426413	-1	OR5A2
9	102684540	102708428	-1	
3	10284419	10285746	1	LINC00852
10	72917641	72918534	-1	NPM1P24
9	25528061	25618158	1	
10	73005833	73006595	-1	RPL17P50
10	73065126	73065467	1	
10	73082494	73082595	-1	Y_RNA
3	10285754	10294903	1	GHRLOS
4	184227144	184293738	-1	
10	73098044	73101297	-1	
9	116153796	116154046	-1	
9	25535305	25570049	-1	
11	124036013	124041325	-1	OR10G7
10	90622143	90623611	-1	
9	25588679	25590381	1	
10	90740823	90858039	-1	HTR7
11	5786471	5791265	-1	OR52N1
9	16339671	16354802	1	
11	58421238	58428121	-1	OR5B2
14	19082695	19099059	-1	
11	56469274	56473352	-1	OR5M3
14	34061412	34072261	1	
3	10287413	10287482	1	
9	1041219	1042608	-1	
3	10330229	10330285	1	MIR378B
11	124437445	124445696	-1	OR8B8
3	48997221	48999442	-1	
9	130933804	130945527	1	FIBCD1-AS1
20	45207033	45210605	1	SEMG1
14	39432429	40390547	1	
3	49020148	49020234	-1	MIR425
3	49020618	49020709	-1	MIR191
3	157579694	157587495	-1	
19	54948864	54948993	1	
9	126101040	126103293	-1	
19	54973817	54974417	1	RPL36AP50
3	63652675	63679020	1	SNTN
9	62288024	62376890	-1	FAM88C
11	104942866	104969366	-1	CASP4
10	50676743	50686326	1	NUTM2HP
HSCHR8_3_CTG7	200980	210848	-1	FAM83H
19	55027593	55053928	-1	
10	50695592	50695981	1	
20	45293445	45312469	-1	MATN4
10	50726947	50727969	-1	PGGT1BP1
10	50736078	50739434	-1	
4	128567933	128570531	-1	LINC03140
19	55039108	55071291	-1	RDH13
10	50822692	50824525	-1	
3	63833870	63863868	-1	THOC7
HSCHR8_3_CTG7	68398	73345	1	
10	50962993	50963358	-1	MIX23P2
4	184281366	184299827	1	
18	721588	813276	-1	YES1
10	26509589	26509704	1	RNA5SP307
HSCHR8_3_CTG7	173201	175460	1	LINC02878
10	26577791	26622338	-1	LINC03028
10	26591310	26594271	1	FAM238A
5	149216523	149276805	-1	
10	26650554	26653383	1	FAM238B
HSCHR8_3_CTG7	102658	108088	-1	GFUS
10	26695091	26697625	-1	
5	149371324	149404202	-1	IL17B
10	26714622	26715832	1	HSPA8P3
4	184293755	184295482	-1	
10	114690143	114690634	-1	PPIAP19
10	114809375	114811170	1	TAF9BP2
4	6561960	6569494	1	
10	114900722	114901366	1	RPL15P13
10	114969460	114969568	-1	RNU6-1121P
10	114994657	114996593	1	LINC02626
10	75003055	75025174	-1	
9	62737642	62738745	-1	
4	151988526	152045351	1	
10	75023475	75024251	-1	
9	72561358	72577320	-1	
10	75089248	75089725	-1	PPIAP13
10	75125217	75125862	1	RPS26P42
10	73715843	73730469	-1	
9	62426471	62441842	-1	
9	124173703	124222524	-1	
HSCHR6_MHC_APD_CTG1	4117787	4122072	-1	HLA-DOB
9	22203798	22216807	-1	
5	149425771	149428289	-1	LNPPS
5	149428918	149429023	1	MIR143
5	149430646	149430733	1	MIR145
9	22159817	22166190	-1	
5	151366299	151436953	-1	
9	17551149	17654434	1	
9	85283949	85290226	-1	
9	16726804	16727551	1	BNC2-AS1
5	159157409	159210053	-1	RNF145
14	95337879	95339683	-1	
9	85290028	85291752	1	
14	52258265	52267578	-1	
10	76869601	77638369	-1	KCNMA1
9	114388083	114397269	1	
14	39470265	39474760	-1	
4	137967479	138131182	-1	LINC00616
14	98067465	98205204	-1	
9	79023321	79047563	1	
9	20301224	20307820	-1	
3	64008082	64008692	-1	
3	114103249	114103628	-1	H2BP3
9	138215713	138295663	1	
3	114231398	114233021	-1	ATOSBP1
3	114314501	114329714	-1	
3	114316475	114316569	-1	MIR568
3	114445521	114529452	1	ZBTB20-AS5
14	62133991	62140011	-1	LINC00644
3	114684580	114687609	1	ZBTB20-AS2
3	114743445	114743525	-1	MIR4796
3	114873114	114876514	1	ZBTB20-AS3
14	97427071	97582146	1	LINC02325
3	114930541	114931449	1	YBX1P3
HSCHR6_MHC_APD_CTG1	853148	854731	1	OR2H2
3	115100423	115103061	1	ZBTB20-AS4
11	104975356	104976116	-1	
HSCHR6_MHC_APD_CTG1	1492088	1655624	-1	
3	115279125	115279860	1	EIF4E2P2
11	105055567	105055666	-1	
3	155290227	155293683	-1	STRIT1
11	105122661	105123339	-1	CASP1P1
11	105194440	105194946	-1	OR2AL1P
11	105246880	105247060	-1	
HSCHR6_MHC_APD_CTG1	2359750	2364549	1	MUC22
3	155291188	155294176	1	
11	118994334	118994630	1	Metazoa_SRP
11	118994560	118994655	1	Y_RNA
HSCHR6_MHC_APD_CTG1	1496350	1500326	1	TRIM26BP
3	155309427	155309807	-1	PABPC1P10
11	118994824	118998004	-1	CENATAC-DT
HSCHR6_MHC_APD_CTG1	2921474	2925564	-1	NCR3
3	114234631	114237578	-1	ZNF80
19	46260420	46260858	-1	IGFL1P2
11	119003012	119003446	-1	RPL23AP64
11	119003742	119004893	-1	
3	131381671	131388830	1	NUDT16
11	119005727	119005934	-1	
11	119018944	119019012	1	
11	119044188	119045493	1	HYOU1-AS1
19	46297042	46343433	1	HIF3A
11	119185457	119190223	1	NHERF4
14	102510892	102512583	1	
3	143971823	144048719	1	DIPK2A
14	70256362	70257873	-1	
14	89013361	89025997	1	
14	70255629	70343388	1	
14	42113913	42151060	1	
14	79850074	79974169	-1	
14	102368613	102394883	-1	
3	128764466	128765018	-1	FTH1P4
9	138199777	138224119	-1	
3	128785147	128785448	1	RN7SL698P
3	128798841	128799201	-1	RPS15AP16
9	138225155	138247081	-1	
3	128848673	128849399	-1	MARK3P3
3	128852112	128853008	-1	MARK2P6
3	128869624	128870026	1	CIDECP2
14	19024090	19056237	1	
3	128914833	128915060	-1	
9	20321981	20324063	1	
3	167392796	167408519	1	LINC01327
9	138215979	138217457	-1	
3	123814077	123814207	1	
3	124132929	124133025	1	MIR5002
3	124151960	124153063	-1	RPL7P15
9	100352968	100410586	1	
HSCHR8_3_CTG7	63530	67437	1	
3	25555543	25555606	-1	
3	25618132	25618312	-1	
3	25664873	25664939	-1	MIR4442
3	25686896	25687123	1	CRIP1P2
HSCHR8_3_CTG7	64825	68689	-1	NAPRT
3	25749488	25749896	1	RPL32P11
HSCHR6_MHC_APD_CTG1	3722741	3725917	1	TSBP1-AS1
14	49860314	49868199	-1	
3	25754925	25755670	1	TAF9BP1
HSCHR6_MHC_APD_CTG1	1250921	1251317	1	DDX39BP2
3	184241405	184241489	1	MIR1224
HSCHR6_MHC_APD_CTG1	3500814	3510698	-1	AGPAT1
3	184249695	184293031	1	EEF1AKMT4-ECE2
9	133139983	133145443	1	
5	23443586	23528093	1	PRDM9
9	123338284	123340063	-1	
9	42364438	42378466	-1	
9	25780032	25844585	1	LINC01241
14	49862969	49865508	1	
14	56494612	56503679	1	
14	23376372	23376965	-1	
14	32200432	32201995	-1	
14	45626371	45627632	1	
14	25246555	25279233	1	
21	43050900	43076943	-1	CBS
20	56468585	56519449	1	RTF2
9	75852311	75890239	1	
14	75561588	75579657	-1	FLVCR2-AS1
11	119289562	119289677	-1	RNU6-262P
11	119312950	119313012	-1	MIR6756
11	119323293	119323409	-1	
11	67252336	67261545	-1	
9	69654370	69672966	-1	
11	67490245	67490315	1	MIR6752
14	96738021	96793084	1	LINC02299
9	126337328	126338310	-1	
11	67518912	67524517	-1	CABP2
9	134944744	134948596	1	
3	184259213	184261553	-1	CAMK2N2
9	134945504	134947411	-1	
9	14920720	15146401	-1	
5	178694572	178697761	-1	MSANTD5
3	184325696	184325771	1	SNORD66
3	184505113	184508399	1	LINC01839
14	78703608	78709986	-1	
3	38014568	38014669	1	Y_RNA
3	38051759	38052395	1	PPP2R2DP1
5	178764861	178818435	-1	AACSP1
14	93983081	93987560	-1	
3	38125292	38125394	-1	Y_RNA
3	39025987	39026093	1	RNU6-1227P
4	151949295	151991935	-1	
3	46581150	46617226	1	
HSCHR8_3_CTG7	183741	185156	-1	CCDC166
14	21383382	21391821	1	
4	177403974	177408039	-1	
14	94960277	94962976	-1	LINC02279
3	46647171	46661507	-1	
5	168529305	168530634	1	FBLL1
HSCHR8_3_CTG7	161499	190945	1	ZNF707
4	184268148	184269028	1	
3	46650510	46650590	1	
4	138057464	138178177	1	SLC7A11-AS1
3	46694528	46710886	1	TMIE
14	71212633	71230722	1	
12	132621999	132622973	-1	
5	168552277	168553727	-1	SLC2A3P1
5	168560896	168560973	-1	MIR103A1
12	132688049	132714912	1	
5	168560904	168560965	1	MIR103B1
5	168616352	168616996	1	RPL10P9
5	27111569	27111674	1	RNU6-738P
5	38763158	38764289	-1	
12	132723945	132724057	-1	RNA5SP379
11	67538899	67540584	1	
14	71124519	71129964	1	
12	132745156	132745729	1	
5	38783580	38792754	1	
14	71136913	71139698	-1	
3	46712115	46812574	-1	
12	40068243	40068590	-1	RPL30P13
14	26831395	26873449	-1	
5	39022411	39022558	1	AIG1P1
12	84671598	84672026	1	
5	39092658	39103677	-1	
11	67651576	67653404	-1	
12	103930425	103930555	1	MIR3652
5	70055820	70057416	-1	SMN2-AS1
11	67682772	67683058	-1	RPL37P2
5	70132679	70132973	1	CDH12P3
14	71231941	71233281	1	
11	67722483	67723455	-1	OR7E145P
4	151808612	151851192	-1	
12	103965822	103988874	1	TDG
14	71181422	71182106	1	
11	67735608	67736559	-1	OR7E11P
3	46712117	46717869	-1	PRSS50
11	67744322	67744645	1	
9	39674058	39681143	-1	
4	180658884	180675423	-1	
14	82536953	82545314	-1	
11	67749043	67756968	-1	EVA1CP4
14	35321823	35339951	-1	
4	151883363	151928710	-1	
14	58157908	58158338	1	
9	14977030	14978024	-1	
11	63032503	63033103	-1	PTTG1P2
14	38255980	38371338	1	
11	63046785	63048126	1	TUBAP7
9	129575117	129584557	1	
11	63115880	63116338	-1	RPL29P22
11	63265836	63266256	-1	
3	46742092	46812558	-1	
11	6481485	6508978	1	
5	58969038	60522120	-1	PDE4D
3	46798123	46798390	1	
3	46918807	46918935	-1	BLVRBP1
3	47028855	47029030	1	MRPL57P3
3	38505480	38505581	-1	Y_RNA
3	38515448	38515830	-1	DDTP1
11	6488186	6489377	-1	
4	137943019	138051288	1	
11	6843664	6844666	-1	
3	38526802	38527325	-1	RPL18AP7
11	6876625	6877619	1	OR10A4
9	104993677	105071507	1	
14	104120807	104138440	-1	KIF26A-DT
19	46306470	46306577	-1	RNU6-924P
19	46410329	46413564	-1	CCDC8
11	56699095	56703884	1	OR9G1
3	179259028	179261273	-1	LRRFIP1P1
4	145699346	145703468	1	
3	179340322	179341887	1	
11	59473315	59479361	1	OR4D10
9	15135406	15136319	1	
3	179396961	179399191	1	
4	183568283	183635675	-1	
9	126589327	126613761	-1	LMX1B-DT
19	53277462	53284947	1	FAM90A27P
11	17351800	17377341	1	NCR3LG1
14	82642570	82746664	1	LINC02301
3	179405448	179405944	1	
3	179452395	179452419	-1	RPL29P34
3	179464346	179465328	1	MTHFD2P7
19	57668935	57679152	1	ZSCAN4
4	138050967	138052460	-1	
3	179583262	179583762	-1	
4	152002164	152024489	-1	
HSCHR6_MHC_APD_CTG1	1117760	1117891	-1	
3	179584271	179584410	-1	
HSCHR6_MHC_APD_CTG1	848202	848719	1	RPL13AP
3	179614775	179614878	-1	
HSCHR6_MHC_APD_CTG1	1324801	1328425	1	PPP1R11
3	194355249	194369743	-1	LRRC15
4	138241804	138242950	1	
19	4791734	4801273	1	FEM1A
4	152038510	152041916	-1	
4	158841808	158841980	1	
4	152009594	152010168	-1	
11	17435672	17436181	-1	SDHCP4
3	194471923	194472085	1	
3	194533503	194533583	-1	RNU6-1101P
3	194562978	194564001	-1	RPL23AP93
11	17193489	17194308	1	RPL29P21
18	50282331	50287857	-1	CXXC1
19	1578339	1605445	-1	
4	133075311	133151069	-1	PCDH10-DT
15	98518800	98547728	-1	
11	17228279	17229151	1	
3	194637505	194637664	-1	
15	25091786	25107469	-1	
3	194685883	194689037	1	FAM43A
15	81002142	81002279	1	
3	5068676	5069044	-1	RNF10P1
